name,city,team,number,position,height,weight,college,country,draft_year,draft_round,round_num
Nyara Sabally,New York,Liberty,8,C,6-5,204,Oregon,Germany,2022,1,5
Satou Sabally,Dallas,Wings,0,F,6-4,175,Oregon,USA,2020,1,2
Karlie Samuelson,Washington,Mystics,44,G,6-0,160,Stanford,USA,null,null,null
Katie Lou Samuelson,Indiana,Fever,33,F,6-3,163,Connecticut,USA,2019,1,4
Victaria Saxton,Indiana,Fever,5,F,6-2,181,South Carolina,USA,2023,3,25
Jacy Sheldon,Dallas,Wings,4,G,5-10,140,Ohio State,USA,2024,1,5
Maddy Siegrist,Dallas,Wings,20,F,6-2,175,Villanova,USA,2023,1,3
Odyssey Sims,Los Angeles,Wings,6,G,5-8,155,Baylor,USA,2014,1,2
Alanna Smith,Minnesota,Lynx,8,F,6-4,183,Stanford,Australia,2019,1,8
NaLyssa Smith,Indiana,Fever,1,F,6-4,185,Baylor,USA,2022,1,2
Stephanie Soares,Dallas,Wings,10,C,6-6,196,Iowa State,Brazil,2023,1,4
Azurá Stevens,Los Angeles,Sparks,23,F-C,6-6,180,Connecticut,USA,2018,1,6
Breanna Stewart,New York,Liberty,30,F,6-4,170,Connecticut,USA,2016,1,1
Kiah Stokes,Las Vegas,Aces,41,C,6-3,191,Connecticut,USA,2015,1,11
Sug Sutton,Washington,Mercury,1,G,5-8,140,University of Texas at Austin,USA,2020,3,36
Brittney Sykes,Washington,Mystics,20,G,5-9,154,Syracuse,USA,2017,1,7
Stephanie Talbot,Golden State,Sparks,0,F,6-2,192,Adelaide,Australia,2014,3,33
Diana Taurasi,Phoenix,Mercury,3,G,6-0,163,Connecticut,USA,2004,1,1
Alyssa Thomas,Connecticut,Sun,25,F,6-2,203,Maryland,USA,2014,1,4
Kayla Thornton,Golden State,Liberty,0,F,6-1,190,Texas-El Paso,USA,null,null,null
Brianna Turner,Chicago,Sky,21,F,6-3,170,Notre Dame,USA,2019,1,11
Sevgi Uzun,Dallas,Wings,1,G,5-10,141,-,Turkey,null,null,null
Courtney Vandersloot,New York,Liberty,22,G,5-8,137,Gonzaga,USA,2011,1,3
Julie Vanloo,Golden State,Mystics,0,G,5-8,null,-,Belgium,null,null,null
Victoria Vivians,Seattle,Storm,35,G-F,6-1,197,Mississippi State,USA,2018,1,8
Shatori Walker-Kimbrough,Washington,Mystics,32,G,5-9,140,Maryland,USA,2017,1,6
Kristy Wallace,Indiana,Fever,3,G,5-11,157,Baylor,Australia,2018,2,16
Erica Wheeler,Indiana,Fever,17,G,5-7,143,Rutgers,USA,null,null,null
Sami Whitcomb,Seattle,Storm,32,G,5-10,149,Washington,Australia,null,null,null
Courtney Williams,Minnesota,Lynx,10,G,5-8,142,South Florida,USA,2016,1,8
Elizabeth Williams,Chicago,Sky,1,C-F,6-3,200,Duke,United Kingdom,2015,1,4
A'ja Wilson,Las Vegas,Aces,22,C,6-4,195,South Carolina,USA,2018,1,1
Jackie Young,Las Vegas,Aces,0,G,6-0,165,Notre Dame,USA,2019,1,1
Li Yueru,Los Angeles,Sparks,28,C,6-7,null,,China,2019,3,35
Cecilia Zandalasini,Golden State,Lynx,0,F,6-2,175,PF Schio,Italy,null,null,null
